wikidata_id	word	category
Q38864	Puli	Animal
Q38884	Neuguinea-Dingo	Animal
Q38904	Pudel	Animal
Q38919	Pumi	Animal
Q38922	Otterhund	Animal
Q38925	Norrbottenspitz	Animal
Q38930	Pudelpointer	Animal
Q38945	Mischlingshund	
Q38945	Mischlingshund	Animal
Q38950	Landseer	Animal
Q38951	Koolie	Animal
Q38958	Kanni	Animal
Q38959	Pekingese	Animal
Q38965	Weimaraner	Animal
Q38972	Shar-Pei	Animal
Q38990	Zwergpinscher	Animal
Q38991	Tosa	Animal
Q38999	Zwergschnauzer	Animal
Q39002	Samojede	Animal
Q39010	Schipperke	Animal
Q58307765	Lao	Animal
Q9677	Farbenzwerg	Animal
Q389915	Widderkaninchen	Animal
Q496257	Löwenkopfkaninchen	Animal
Q542500	Angorakaninchen	Animal
Q655850	Thüringer	Animal
Q655886	Satinkaninchen	Animal
Q656299	Chinchillakaninchen	Animal
Q656558	Kleinschecken	Animal
Q809430	Bartkaninchen	Animal
Q853488	Zwergwidder	Animal
Q1016086	Burgunder	Animal
Q1255111	Teddykaninchen	Animal
Q1344121	Luxkaninchen	Animal
Q1405086	Kalifornier	Animal
Q1472608	Fuchskaninchen	Animal
Q1476540	Jamora	Animal
Q1477501	Silberkaninchen	Animal
Q1477814	Lohkaninchen	Animal
Q1538853	Gotlandkaninchen	Animal
Q1588394	Hasenkaninchen	Animal
Q1591452	Havannakaninchen	Animal
Q1595990	Alaska	Animal
Q1613509	Hermelinkaninchen	Animal
Q1623774	Siamesenkaninchen	Animal
Q1624960	Holländerkaninchen	Animal
Q1683199	Japaner	Animal
Q1726917	Separatorkaninchen	Animal
Q1844684	Steen-Kaninchen	Animal
Q1894452	Marderkaninchen	Animal
Q1956184	Riesenkaninchen	Animal
Q1971061	Rexkaninchen	Animal
Q2071404	Perlfeh	Animal
Q2148419	Rhönkaninchen	Animal
Q2254235	Schwarzgrannenkaninchen	Animal
Q2557231	Weißgrannen	Animal
Q39075	Västgötaspets	Animal
Q39083	Porcelaine	Animal
Q39093	Rottweiler	Animal
Q39108	Saluki	Animal
Q39122	Whippet	Animal
Q39133	Tornjak	Animal
Q39147	Shikoku	Animal
Q39157	Schapendoes	Animal
Q39181	Tibet-Spaniel	Animal
Q39182	Kokoni	Animal
Q39192	Stabyhoun	
Q39192	Stabyhoun	Animal
Q39220	Foxterrier	
Q39220	Foxterrier	Animal
Q39239	Taigan	Animal
Q39254	Zwergspaniel	Animal
Q39265	Wäller	Animal
Q39306	Saarlooswolfhund	Animal
Q39306	Saarlooswolfhund	
Q39315	Shiba	Animal
Q39322	Tibetdogge	Animal
Q39605	Mittelschnauzer	Animal
Q44116	Kaninchenhund	Animal
Q326532	Transmontano-Hirtenhund	Animal
Q390751	Agassin	Animal
Q516079	Africanis	Animal
Q1060733	Chambray	Animal
Q58789	Murnau-Werdenfelser-Rind	
Q58789	Murnau-Werdenfelser-Rind	Animal
Q58910	Holstein-Rind	Animal
Q176656	Beefalo	
Q176656	Beefalo	Animal
Q223232	Normanne	
Q223232	Normanne	Animal
Q257477	Tharparkar-Rind	Animal
Q328759	Glanrind	Animal
Q465128	Tuxer	Animal
Q465241	Eringer	Animal
Q475329	Heckrind	Animal
Q522793	Glamorgan-Rind	Animal
Q569018	Ansbach-Triesdorfer	Animal
Q587003	Chillingham-Rind	Animal
Q587003	Chillingham-Rind	
Q634352	Welsh-Black	Animal
Q637843	Gir	Animal
Q640489	Vechur-Rind	Animal
Q641971	Corriente-Rind	Animal
Q683999	Evolèner	Animal
Q689155	Fleckvieh	
Q689155	Fleckvieh	Animal
Q690396	Tudanca	
Q690396	Tudanca	Animal
Q691983	Braunvieh	Animal
Q5165281	Riesenkaninchen	Animal
Q9024354	Großchinchillakaninchen	Animal
Q11755928	Kleinwidder	Animal
